,full_name,forks_count,open_issues_count,watchers_count,star_count
636,trustedsec/ptf,-1.1486041675695866,-2.706192715781439,-0.80154824731027,-0.80154824731027
637,what-studio/profiling,-1.7436346225212265,-2.725354633662647,-0.8017210077818304,-0.8017210077818304
638,STVIR/pysot,-1.205119950265129,-2.5145735369693614,-0.802239289196512,-0.802239289196512
639,farizrahman4u/seq2seq,-1.159099955784473,-2.176046321068023,-0.802584810139633,-0.802584810139633
640,andabi/deep-voice-conversion,-1.3068483591171054,-2.2974051343156727,-0.8027575706111936,-0.8027575706111936
641,kachayev/fn.py,-1.6911556814467943,-2.6614815740586213,-0.8032758520258751,-0.8032758520258751
642,eon01/kubernetes-workshop,-1.6984219963647926,-2.763678469425063,-0.8034486124974356,-0.8034486124974356
643,mongodb/mongo-python-driver,-1.0920883848740441,-2.7892276932666733,-0.8036213729689962,-0.8036213729689962
644,samuelcolvin/pydantic,-1.6895409447983503,-2.182433627028426,-0.9691259047239701,-0.9691259047239701
645,buckyroberts/Source-Code-from-Tutorials,0.5444472083240215,-2.3293416641176856,-0.9694714256670911,-0.9694714256670911
646,maciejkula/spotlight,-1.592656745891706,-2.457087783325738,-0.9694714256670911,-0.9694714256670911
647,facebookresearch/PyTorch-BigGraph,-1.6217220055636992,-2.7189673277022446,-0.9696441861386517,-0.9696441861386517
648,mfitzp/15-minute-apps,-1.4465230792075177,-2.7381292455834525,-0.9699897070817727,-0.9699897070817727
649,qq547276542/Agriculture_KnowledgeGraph,-1.0719041767684931,-2.58483390253379,-0.9699897070817727,-0.9699897070817727
650,lincolnloop/python-qrcode,-1.5321041215750533,-2.520960842929764,-0.9703352280248937,-0.9703352280248937
651,nixawk/pentest-wiki,-1.2818199410662223,-2.7317419396230496,-0.9705079884964543,-0.9705079884964543
652,DormyMo/SpiderKeeper,-1.4957725469850618,-2.4443131714049326,-0.9706807489680147,-0.9706807489680147
653,etsy/logster,-1.6088041123761467,-2.744516551543855,-0.9713717908542568,-0.9713717908542568
654,AonCyberLabs/Windows-Exploit-Suggester,-1.3254178305742124,-2.7189673277022446,-0.9718900722689383,-0.9718900722689383
655,TencentYoutuResearch/FaceDetection-DSFD,-1.4489451841801837,-2.565671984652582,-0.9722355932120594,-0.9722355932120594
656,pywinauto/pywinauto,-1.5377556998446076,-1.364858464096893,-0.9722355932120594,-0.9722355932120594
657,carykh/jumpcutter,-1.6079967440519247,-2.137722485305608,-0.9722355932120594,-0.9722355932120594
658,munki/munki,-1.6322177937785858,-2.3485035819988935,-0.9730993955698619,-0.9730993955698619
659,keleshev/schema,-1.7186062044703434,-2.4315385594841277,-0.9730993955698619,-0.9730993955698619
660,minimaxir/person-blocker,-1.6677420000443552,-2.75729116346466,-0.9736176769845435,-0.9736176769845435
661,owais/django-webpack-loader,-1.6297956888059195,-2.457087783325738,-0.9736176769845435,-0.9736176769845435
662,gaojiuli/gain,-1.6669346317201332,-2.776453081345868,-0.9743087188707856,-0.9743087188707856
663,golbin/TensorFlow-Tutorials,-1.022654708990949,-2.6870307979002317,-0.9744814793423461,-0.9744814793423461
664,python/peps,-1.269709416202892,-2.6998054098210367,-0.9746542398139066,-0.9746542398139066
665,vmware/photon,-1.3891999281877532,-2.182433627028426,-0.9748270002854671,-0.9748270002854671
